,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Unnamed: 0,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin
0,False,True,False,False,False,True,0,39.0,False,0.0,0.0,0.0,0.0,0.0,False,1
1,True,False,False,False,False,True,1,24.0,False,109.0,9.0,25.0,549.0,44.0,True,5
2,False,True,False,False,False,True,2,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,0
3,False,True,False,False,False,True,3,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,0
4,True,False,False,False,False,True,4,16.0,False,303.0,70.0,151.0,565.0,2.0,True,5
5,True,False,False,False,True,False,5,44.0,False,0.0,483.0,0.0,291.0,0.0,True,5
6,True,False,False,False,False,True,6,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,5
8,True,False,False,False,False,True,8,35.0,False,0.0,785.0,17.0,216.0,0.0,True,1
9,False,True,False,True,False,False,9,14.0,False,0.0,0.0,0.0,0.0,0.0,True,1
11,False,True,False,True,False,False,11,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,6
12,False,False,True,False,False,True,12,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,5
13,True,False,False,False,False,True,13,48.0,False,719.0,1.0,65.0,0.0,24.0,False,5
14,True,False,False,False,False,True,14,28.0,False,8.0,974.0,12.0,2.0,7.0,True,5
17,True,False,False,True,False,False,17,24.0,False,0.0,1.0,0.0,0.0,637.0,False,4
18,False,False,True,False,False,True,18,45.0,False,0.0,0.0,0.0,0.0,0.0,True,4
19,True,False,False,False,False,True,19,0.0,False,0.0,0.0,0.0,0.0,0.0,True,4
20,True,False,False,True,False,False,20,14.0,False,412.0,0.0,1.0,0.0,679.0,False,4
21,True,False,False,False,False,True,21,1.0,False,0.0,0.0,0.0,0.0,0.0,False,3
22,True,False,False,True,False,False,22,49.0,False,0.0,0.0,0.0,0.0,0.0,False,5
24,True,False,False,False,False,True,24,10.0,False,0.0,0.0,0.0,0.0,0.0,True,5
26,True,False,False,False,False,True,26,7.0,False,0.0,0.0,0.0,0.0,0.0,False,5
27,False,False,True,False,False,True,27,21.0,False,980.0,2.0,69.0,0.0,0.0,False,5
29,True,False,False,False,False,True,29,15.0,False,0.0,225.0,0.0,998.0,0.0,False,3
30,False,True,False,True,False,False,30,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,5
31,False,False,True,False,False,True,31,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,5
32,True,False,False,False,False,True,32,32.0,False,0.0,850.0,81.0,437.0,453.0,False,6
33,False,False,True,False,False,True,33,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,1
34,False,False,True,False,False,True,34,2.0,False,0.0,0.0,0.0,0.0,0.0,True,6
36,False,True,False,True,False,False,36,28.0,False,0.0,0.0,0.0,0.0,0.0,True,6
37,False,False,True,True,False,False,37,23.0,False,784.0,964.0,0.0,951.0,0.0,False,5
38,True,False,False,True,False,False,38,15.0,True,0.0,492.0,48.0,20.0,401.0,False,5
39,True,False,False,True,False,False,39,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,4
41,True,False,False,False,False,True,41,17.0,False,0.0,0.0,0.0,0.0,0.0,True,5
42,False,True,False,False,False,True,42,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,0
43,True,False,False,False,False,True,43,55.0,False,0.0,0.0,0.0,0.0,0.0,False,0
44,True,False,False,True,False,False,44,4.0,False,0.0,0.0,0.0,0.0,0.0,True,0
45,True,False,False,False,True,False,45,21.0,False,0.0,0.0,0.0,0.0,0.0,True,6
46,False,False,True,False,False,True,46,21.0,False,970.0,0.0,180.0,0.0,64.0,False,5
47,False,False,True,False,False,True,47,19.0,False,0.0,0.0,0.0,0.0,0.0,True,5
49,True,False,False,False,False,True,49,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,6
50,True,False,False,False,False,True,50,28.82793046746535,False,4.0,0.0,2.0,4683.0,0.0,False,6
51,True,False,False,False,False,True,51,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,6
52,False,True,False,False,False,True,52,2.0,False,0.0,0.0,0.0,0.0,0.0,True,5
53,False,True,False,False,False,True,53,38.0,False,0.0,0.0,0.0,0.0,0.0,True,4
54,False,True,False,False,False,True,54,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,5
55,True,False,False,False,True,False,55,36.0,False,0.0,0.0,0.0,0.0,0.0,False,5
56,True,False,False,False,False,True,56,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,5
57,True,False,False,False,False,True,57,62.0,False,0.0,592.0,0.0,17.0,25.0,False,5
58,False,False,True,False,False,True,58,15.0,False,0.0,0.0,0.0,0.0,0.0,True,3
60,True,False,False,False,False,True,60,62.0,False,1.0,153.0,197.0,0.0,460.0,False,5
61,True,False,False,False,True,False,61,0.0,False,0.0,0.0,0.0,0.0,0.0,True,5
62,True,False,False,False,False,True,62,18.0,False,1.0,258.0,446.0,0.0,0.0,True,2
63,True,False,False,True,False,False,63,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,6
64,False,False,True,False,False,True,64,28.82793046746535,False,793.0,0.0,2.0,253.0,0.0,False,5
65,True,False,False,False,False,True,65,42.0,False,887.0,0.0,9.0,6.0,0.0,True,5
66,True,False,False,False,False,True,66,19.0,False,190.0,0.0,5.0,1.0,726.0,False,6
67,True,False,False,False,False,True,67,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,2
68,True,False,False,False,False,True,68,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,5
69,False,False,True,False,True,False,69,37.0,False,46.0,83.0,738.0,0.0,12.0,False,4
70,False,True,False,False,False,True,70,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,6
71,False,False,True,False,False,True,71,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,5
72,False,False,True,False,False,True,72,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,6
73,False,True,False,False,False,True,73,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,6
74,True,False,False,False,False,True,74,13.0,False,0.0,0.0,0.0,0.0,0.0,False,0
76,False,False,True,False,False,True,76,2.0,False,0.0,0.0,0.0,0.0,0.0,True,6
